Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
Small PRD,small_prd_files,neozenith__sflt__PRD-v2,https://github.com/neozenith/sflt,39.9,10.64,74.79,1.87,12.13,473,39,0.36,13.8,22.6,12.1,13,14.9,11.9,17.0,Very Difficult (College Graduate),91.5,45,0.19,149,0.61,46.0,0,0.0,0.02,0.01,2.54,0.37
Small PRD,small_prd_files,tudragon154203__litellm-AgentRouter__specs__2-request-telemetry-logging-prd,https://github.com/tudragon154203/litellm-AgentRouter,15.63,7.6,38.86,1.24,7.23,311,43,0.35,12.2,38.3,10.0,13,12.8,11.1,14.0,Difficult (College),81.0,17,0.12,80,0.58,46.0,0,0.0,0.09,0.02,0.852,0.25
Small PRD,small_prd_files,tkhongsap__elli-po-buddy__full-prd,https://github.com/tkhongsap/elli-po-buddy,14.86,10.83,32.3,0.8,2.99,548,183,0.41,9.4,49.9,8.2,8,10.3,9.8,11.4,Difficult (College),62.0,11,0.04,110,0.36,46.0,0,0.0,0.08,0.04,1.062,0.17
Small PRD,small_prd_files,ErpNetDocs__model__tables__Prd_Consumption_Orders,https://github.com/ErpNetDocs/model,51.0,4.5,74.55,1.32,6.91,152,22,0.56,15.4,38.1,14.0,19,16.7,14.9,11.7,Difficult (College),44.5,22,0.59,1,0.03,30.0,0,0.0,0.46,0.16,1.93,0.65
Small PRD,small_prd_files,osodevops__kafka-backup__docs__mvp-prd,https://github.com/osodevops/kafka-backup,12.46,9.2,24.76,0.9,3.09,331,107,0.33,11.1,42.4,9.3,12,11.2,10.3,13.3,Difficult (College),18.8,1,0.01,14,0.09,46.0,0,0.0,0.15,0.05,1.013,0.26
Small PRD,small_prd_files,mattgierhart__PRD-driven-context-engineering__workflows__PRD_VERSION_LIFECYCLE,https://github.com/mattgierhart/PRD-driven-context-engineering,21.65,12.59,41.04,1.71,4.47,335,75,0.39,11.3,38.1,9.5,11,12.2,10.1,13.5,Difficult (College),92.9,27,0.15,82,0.45,46.0,0,0.0,0.01,0.02,0.794,0.44
Small PRD,small_prd_files,MarcoPolo483__EVA-Sovereign-UI-by-Copilot__GC-DESIGN-SYSTEM-PRD,https://github.com/MarcoPolo483/EVA-Sovereign-UI-by-Copilot,15.15,6.07,37.04,1.53,11.59,313,27,0.26,16.4,19.8,14.1,17,17.3,14.8,18.9,Very Difficult (College Graduate),78.5,14,0.19,71,0.95,46.0,0,0.0,0.05,0.04,2.863,0.76
Small PRD,small_prd_files,basicdb__basic-cli__MIGRATION_PRD,https://github.com/basicdb/basic-cli,42.12,9.04,68.04,2.4,14.62,351,24,0.43,20.7,6.1,20.6,24,22.5,18.9,18.1,Very Difficult (College Graduate),98.7,49,0.96,221,4.33,46.0,0,0.0,0.31,0.0,3.477,2.82
Small PRD,small_prd_files,bartczak-pa__heavenly_treatments__prd,https://github.com/bartczak-pa/heavenly_treatments,46.58,17.92,106.52,2.71,7.65,398,52,0.4,17.3,22.7,15.4,18,19.1,16.7,17.3,Very Difficult (College Graduate),87.3,43,0.42,236,2.31,30.0,0,0.0,0.24,0.32,1.283,0.83
Small PRD,small_prd_files,readium__css__docs__CSS24-eprdctn_requests,https://github.com/readium/css,12.41,7.97,49.38,1.37,7.1,277,39,0.31,10.9,52.8,9.6,10,12.2,11.8,10.9,Fairly Difficult (10th-12th grade),70.5,10,0.12,40,0.49,30.0,0,0.0,0.39,0.49,1.249,0.34
Small PRD,small_prd_files,boltdew__akb__aviation-docs-prd,https://github.com/boltdew/akb,21.76,10.18,44.15,2.11,7.67,253,33,0.3,11.6,46.1,9.9,13,11.3,11.1,12.9,Difficult (College),81.9,24,0.4,53,0.88,46.0,0,0.0,0.13,0.02,1.564,0.68
Small PRD,small_prd_files,zanganeh__catalyst-studio__docs__archive__epic5-prd,https://github.com/zanganeh/catalyst-studio,46.67,22.83,95.65,1.76,3.56,448,126,0.43,17.0,14.9,15.0,17,18.4,15.5,18.8,Very Difficult (College Graduate),81.1,37,0.23,156,0.96,45.4,3,1.9,0.15,0.11,1.285,1.37
Small PRD,small_prd_files,maxkimambo__trasher__prd__full_prd,https://github.com/maxkimambo/trasher,23.67,9.37,52.13,2.01,9.2,276,30,0.33,19.5,6.5,17.7,21,20.6,17.6,19.8,Very Difficult (College Graduate),100.0,40,0.91,91,2.07,30.0,0,0.0,0.48,0.07,2.088,1.25
Small PRD,small_prd_files,dodge1218__nutrisync-pro__PRD-COMPLETION-STATUS,https://github.com/dodge1218/nutrisync-pro,24.14,6.17,38.45,1.36,17.34,503,29,0.31,23.4,-4.6,21.8,27,25.3,21.2,21.5,Very Difficult (College Graduate),93.7,39,0.8,239,4.88,46.0,0,0.0,0.27,0.08,2.722,1.35
Small PRD,small_prd_files,flexoraaOS__flexoraa-backend__PRD_v2,https://github.com/flexoraaOS/flexoraa-backend,45.12,24.61,67.32,2.51,6.93,790,114,0.42,20.2,4.9,18.8,22,21.5,18.4,19.7,Very Difficult (College Graduate),87.6,86,0.79,330,3.03,46.0,0,0.0,0.18,0.1,1.771,1.23
Small PRD,small_prd_files,mgreenly__3dot0__prd-v2,https://github.com/mgreenly/3dot0,16.38,4.23,49.54,1.45,14.31,186,13,0.29,15.6,31.1,13.9,18,15.7,14.4,16.1,Difficult (College),85.8,23,0.61,78,2.05,46.0,0,0.0,0.21,0.05,2.267,0.55
Small PRD,small_prd_files,cipher982__zerg__docs__OPS_DASHBOARD_PRD,https://github.com/cipher982/zerg,20.77,6.55,48.05,1.64,13.36,294,22,0.27,11.0,49.2,9.1,14,9.9,10.1,11.9,Difficult (College),53.0,1,0.01,88,1.11,46.0,0,0.0,0.05,0.04,1.04,0.3
Small PRD,small_prd_files,Greenmachine84__Compliance__PRDs__CMMI-PRD,https://github.com/Greenmachine84/Compliance,37.75,6.0,79.06,1.97,18.06,289,16,0.4,26.3,-34.8,24.7,28,29.4,23.2,26.8,Very Difficult (College Graduate),93.5,36,0.65,144,2.62,18.0,0,0.0,1.31,0.05,1.4,2.85
Small PRD,small_prd_files,johnhenry__soapy__soapy-prd,https://github.com/johnhenry/soapy,39.15,5.69,85.08,2.08,22.08,287,13,0.34,21.6,-1.8,20.2,24,23.4,19.8,21.1,Very Difficult (College Graduate),100.0,43,1.16,88,2.38,30.0,0,0.0,0.54,0.11,1.804,1.92
Small PRD,small_prd_files,Knowledge-Graph-Hub__kg-registry__resource__hprd__hprd,https://github.com/Knowledge-Graph-Hub/kg-registry,31.68,7.59,76.36,2.0,19.82,436,22,0.29,16.3,16.9,14.7,17,17.5,15.1,17.0,Very Difficult (College Graduate),70.3,13,0.12,233,2.24,46.0,0,0.0,0.06,0.05,1.854,0.17
Small PRD,small_prd_files,IBM__ibmdotcom-tutorials__docs__tutorials__projects__metagpt_tutorial__example_PRD,https://github.com/IBM/ibmdotcom-tutorials,28.51,19.43,48.3,1.58,3.76,522,139,0.44,16.2,14.4,14.2,15,18.4,14.6,18.9,Very Difficult (College Graduate),94.7,56,0.3,129,0.7,46.0,0,0.0,0.11,0.19,0.87,0.87
Small PRD,small_prd_files,talentprotocol__creator-score-miniapp__docs__features__0001_talent_boost_prd,https://github.com/talentprotocol/creator-score-miniapp,32.7,9.0,83.97,1.99,9.43,283,30,0.38,19.6,18.1,19.2,25,20.5,17.0,16.6,Very Difficult (College Graduate),87.8,39,1.08,90,2.5,46.0,0,0.0,0.08,0.03,2.006,0.92
Small PRD,small_prd_files,DafnckStudio__Agentic-Coding-Framework__01_AI-RUN__04_PRD_Generation,https://github.com/DafnckStudio/Agentic-Coding-Framework,17.75,9.81,42.43,1.56,6.36,337,53,0.33,14.7,22.1,12.7,15,16.2,13.2,17.3,Very Difficult (College Graduate),85.0,26,0.18,87,0.62,46.0,0,0.0,0.07,0.16,1.717,0.62
Small PRD,small_prd_files,emmron__egaht__docs__PRD-Sprint-Phase-2,https://github.com/emmron/egaht,23.46,6.31,41.54,1.68,9.58,249,26,0.41,21.1,-6.1,18.3,23,22.0,17.7,23.9,Very Difficult (College Graduate),89.1,17,0.36,135,2.87,46.0,0,0.0,0.0,0.04,1.575,1.3
Small PRD,small_prd_files,artimath__agientic__notes__documentation__templates__PRD_TEMPLATE,https://github.com/artimath/agientic,12.58,10.5,16.98,1.19,1.7,224,132,0.33,12.1,26.4,10.6,13,14.5,9.6,13.4,Very Difficult (College Graduate),97.4,51,0.38,72,0.53,46.0,0,0.0,0.02,0.07,1.42,0.37
Small PRD,small_prd_files,GCUGrayArea__delicious-lotus__docs__prd-frontend,https://github.com/GCUGrayArea/delicious-lotus,30.44,6.56,56.78,1.74,16.56,447,27,0.37,20.4,4.1,19.1,22,21.7,18.6,20.0,Very Difficult (College Graduate),91.5,34,0.6,252,4.42,46.0,0,0.0,0.25,0.05,1.947,1.39
Small PRD,small_prd_files,Dimon94__cc-devflow__.claude__agents__prd-writer,https://github.com/Dimon94/cc-devflow,30.65,13.67,70.16,1.94,6.88,392,57,0.41,15.6,19.5,13.2,16,16.9,13.7,18.1,Very Difficult (College Graduate),90.3,35,0.24,153,1.06,46.0,0,0.0,0.12,0.11,1.382,1.03
Small PRD,small_prd_files,whisperzqh__ProjectGen__datasets__DevBench__lice__PRD,https://github.com/whisperzqh/ProjectGen,21.55,10.1,53.9,2.2,5.26,163,31,0.39,12.8,39.0,10.8,13,13.6,12.4,14.5,Difficult (College),89.9,19,0.26,40,0.55,46.0,0,0.0,0.18,0.21,0.676,0.68
Small PRD,small_prd_files,bufothefrog__multi-agent-coding__blackjack-app__blackjack-prd,https://github.com/bufothefrog/multi-agent-coding,24.81,6.0,54.88,2.01,20.19,323,16,0.32,23.1,6.9,22.6,28,25.9,20.9,17.9,Very Difficult (College Graduate),80.4,16,0.59,151,5.59,46.0,0,0.0,0.26,0.11,2.826,1.11
Small PRD,small_prd_files,sarankumar1325__VibeFlow__sample-prd,https://github.com/sarankumar1325/VibeFlow,30.21,14.47,45.96,2.27,5.4,254,47,0.41,18.7,4.5,16.5,19,21.2,16.9,20.1,Very Difficult (College Graduate),76.2,27,0.52,54,1.04,30.0,0,0.0,0.5,0.17,1.292,1.52
Small PRD,small_prd_files,doggy8088__excel-to-markdown__PRD,https://github.com/doggy8088/excel-to-markdown,18.11,3.56,43.22,1.66,26.11,235,9,0.27,16.8,17.3,15.1,19,16.4,14.6,19.0,Very Difficult (College Graduate),81.7,12,0.26,65,1.41,46.0,0,0.0,0.24,0.09,3.342,0.57
Small PRD,small_prd_files,kdinof__voice-retro-bot__prd,https://github.com/kdinof/voice-retro-bot,31.07,14.44,61.69,2.08,6.94,375,54,0.34,15.2,26.9,13.2,16,16.3,14.3,17.2,Very Difficult (College Graduate),87.2,25,0.29,157,1.85,46.0,0,0.0,0.33,0.08,1.636,0.94
Small PRD,small_prd_files,GregZiel__ZeroClient__.ai__04_prd,https://github.com/GregZiel/ZeroClient,13.9,8.33,30.52,1.14,4.08,249,61,0.38,15.8,14.9,13.8,15,17.5,13.8,17.9,Very Difficult (College Graduate),93.6,24,0.26,98,1.07,46.0,2,2.2,0.09,0.07,1.28,0.7
Small PRD,small_prd_files,DavinciDreams__SIA__SIA_PRD,https://github.com/DavinciDreams/SIA,29.38,12.27,61.5,1.92,7.56,393,52,0.33,12.4,28.6,10.9,11,14.8,11.2,13.7,Very Difficult (College Graduate),94.1,33,0.16,91,0.45,46.0,0,0.0,0.06,0.06,1.055,0.34
Small PRD,small_prd_files,weisberg__langtree__langtree_prd,https://github.com/weisberg/langtree,28.71,17.91,39.55,2.24,6.05,454,75,0.33,15.8,23.9,13.0,17,16.2,13.8,19.0,Very Difficult (College Graduate),79.4,38,0.43,63,0.71,46.0,0,0.0,0.08,0.02,1.273,0.84
Small PRD,small_prd_files,raboley__context-engineering__prd,https://github.com/raboley/context-engineering,10.6,2.6,35.5,1.3,20.8,208,10,0.26,15.8,25.5,14.0,17,16.3,14.7,17.3,Very Difficult (College Graduate),53.3,1,0.02,80,1.86,30.0,0,0.0,0.33,0.44,2.667,1.81
Small PRD,small_prd_files,victoriano__notion2pg__prd__dbt_notion_views_prd,https://github.com/victoriano/notion2pg,25.36,7.2,57.04,1.78,13.2,330,25,0.31,19.6,13.7,18.0,25,20.0,17.4,18.2,Very Difficult (College Graduate),85.2,39,0.81,147,3.06,30.0,1,2.1,0.56,0.04,3.031,1.1
Small PRD,small_prd_files,ahmedmk40__transaction-monitoring-system__PRD_TRACKING,https://github.com/ahmedmk40/transaction-monitoring-system,54.37,18.31,83.22,2.64,7.24,391,54,0.44,21.5,-4.9,19.3,23,22.9,19.0,22.6,Very Difficult (College Graduate),91.5,44,0.5,223,2.53,46.0,0,0.0,0.43,0.01,2.645,1.45
Small PRD,small_prd_files,halledega__StudWalls__stud_wall_prd,https://github.com/halledega/StudWalls,25.46,17.98,51.69,2.14,3.94,319,81,0.36,16.5,12.1,14.3,17,17.4,13.9,20.0,Very Difficult (College Graduate),94.5,44,0.4,121,1.1,46.0,0,0.0,0.05,0.07,1.524,0.47
Small PRD,small_prd_files,asachs01__smtp-edc__docs__WAILS_UI_PRD,https://github.com/asachs01/smtp-edc,36.81,6.94,75.0,2.22,31.12,498,16,0.25,18.1,5.2,15.6,19,18.8,15.0,21.5,Very Difficult (College Graduate),100.0,56,0.53,201,1.91,46.0,0,0.0,0.28,0.04,2.272,1.12
Small PRD,small_prd_files,Arpiti__jeemo__mvp.prd,https://github.com/Arpiti/jeemo,11.26,6.42,32.42,1.38,6.95,264,38,0.26,11.4,49.2,9.8,11,12.4,11.9,11.9,Difficult (College),87.1,25,0.43,81,1.4,30.0,0,0.0,0.19,0.36,1.344,0.31
Small PRD,small_prd_files,openobserve__swisspipe__docs__PRD-Workflow-Version-History-REVIEW,https://github.com/openobserve/swisspipe,20.08,10.03,37.31,2.05,6.17,222,36,0.32,16.8,19.3,14.1,20,16.9,14.5,18.6,Very Difficult (College Graduate),77.0,23,0.47,51,1.04,46.0,0,0.0,0.04,0.1,1.522,0.96
Small PRD,small_prd_files,ezzabuzaid__iworked__prd,https://github.com/ezzabuzaid/iworked,19.78,15.45,38.51,1.81,2.82,257,91,0.29,9.5,55.1,7.5,9,9.5,9.5,10.8,Fairly Difficult (10th-12th grade),72.6,15,0.13,37,0.33,46.0,10,8.9,0.04,0.07,0.955,0.41
Small PRD,small_prd_files,Omcodes23__speedrun-arbitrum-vibekit__.rulesync__subagents__prd-creator,https://github.com/Omcodes23/speedrun-arbitrum-vibekit,11.36,5.14,38.09,1.32,7.77,171,22,0.31,17.6,13.9,15.0,18,20.2,16.3,19.2,Very Difficult (College Graduate),57.6,2,0.05,51,1.16,30.0,0,0.0,0.02,0.5,1.574,0.75
Small PRD,small_prd_files,vscarpenter__SimpleImageViewer__stillview-prd,https://github.com/vscarpenter/SimpleImageViewer,120.88,41.94,236.85,3.12,7.12,1096,154,0.43,19.1,1.4,17.6,20,20.1,17.0,20.8,Very Difficult (College Graduate),86.1,158,0.57,602,2.16,46.0,1,0.4,0.3,0.01,1.335,1.66
Small PRD,small_prd_files,0xthrpw__thoughtstream__siwe-prd,https://github.com/0xthrpw/thoughtstream,68.32,25.07,181.29,2.73,5.65,407,72,0.42,20.5,-0.1,19.6,22,21.9,18.8,19.9,Very Difficult (College Graduate),81.6,42,0.39,188,1.74,30.0,0,0.0,0.41,0.45,1.43,1.73
Small PRD,small_prd_files,falamadi__RAAS-BoltNew__raas-prd,https://github.com/falamadi/RAAS-BoltNew,71.58,38.24,146.0,2.45,5.66,1228,217,0.44,19.7,3.6,17.7,20,21.9,18.2,20.7,Very Difficult (College Graduate),81.2,98,0.3,507,1.54,46.0,14,4.3,0.22,0.17,1.299,1.17
Small PRD,small_prd_files,randeffects__LinkCullen__LinkCullen-PRD,https://github.com/randeffects/LinkCullen,12.91,10.45,29.87,1.35,3.09,232,75,0.31,11.6,40.7,10.0,10,12.7,11.5,12.9,Difficult (College),88.7,19,0.21,59,0.64,46.0,2,2.2,0.15,0.23,1.397,0.39
Small PRD,small_prd_files,eyalrot__ollama_openai__PRD,https://github.com/eyalrot/ollama_openai,72.34,10.97,140.38,2.38,17.24,500,29,0.49,21.2,-7.2,19.1,22,22.8,18.6,22.9,Very Difficult (College Graduate),96.4,66,0.53,232,1.87,46.0,0,0.0,0.39,0.07,1.512,1.35
Small PRD,small_prd_files,perplext__LLMrecon__additionalprd,https://github.com/perplext/LLMrecon,28.44,17.24,64.05,1.67,3.81,507,133,0.37,12.4,33.8,10.8,11,13.7,11.7,14.5,Difficult (College),76.6,29,0.1,162,0.57,46.0,0,0.0,0.09,0.09,0.835,0.6
Small PRD,small_prd_files,r4topunk__gnars-terminal__docs__USER_PROFILE_PRD,https://github.com/r4topunk/gnars-terminal,70.61,24.83,126.61,2.99,8.16,571,70,0.42,20.6,-4.1,19.1,21,22.3,18.6,21.6,Very Difficult (College Graduate),90.9,58,0.48,249,2.08,46.0,1,0.8,0.14,0.07,1.397,1.41
Small PRD,small_prd_files,shrwnsan__vibekit-claude-plugins__docs__prd-001-search-plus-enhancement,https://github.com/shrwnsan/vibekit-claude-plugins,49.6,16.22,100.82,2.49,9.2,414,45,0.43,19.6,4.4,17.8,20,21.3,18.0,20.8,Very Difficult (College Graduate),86.3,58,0.64,188,2.09,30.0,0,0.0,0.36,0.18,1.78,1.59
Small PRD,small_prd_files,PSU3D0__serverless.rs__ai_specs__PROJECT_PRD,https://github.com/PSU3D0/serverless.rs,39.26,12.61,60.29,2.63,11.58,359,31,0.35,16.6,12.5,14.1,17,17.5,13.7,20.2,Very Difficult (College Graduate),100.0,54,0.45,145,1.21,46.0,0,0.0,0.3,0.06,1.081,0.5
Small PRD,small_prd_files,ErpNetDocs__model__tables__Prd_Principal_Recipe_Operations,https://github.com/ErpNetDocs/model,72.15,7.59,111.29,1.65,5.76,196,34,0.49,21.0,18.2,20.9,28,24.2,19.3,12.6,Very Difficult (College Graduate),37.9,38,0.79,2,0.04,18.0,0,0.0,0.77,0.33,2.11,1.17
Small PRD,small_prd_files,rm2thaddeus__Pixel_Detective__docs__sprints__sprint-11__CODEBASE_EVOLUTION_TRACKING_PRD,https://github.com/rm2thaddeus/Pixel_Detective,137.23,33.89,316.03,3.17,12.17,1168,96,0.49,21.1,4.5,19.6,23,22.9,19.5,19.7,Very Difficult (College Graduate),86.6,147,0.54,696,2.55,46.0,1,0.4,0.16,0.11,1.948,1.11
Small PRD,small_prd_files,Jbbrack03__Claude-Code-Memory-MCP__claude-memory-mcp-prd,https://github.com/Jbbrack03/Claude-Code-Memory-MCP,48.26,16.39,94.72,2.73,10.26,472,46,0.36,17.9,4.8,15.4,18,19.2,14.8,21.7,Very Difficult (College Graduate),100.0,67,0.51,238,1.8,46.0,10,7.6,0.15,0.02,1.28,0.98
Small PRD,small_prd_files,jfuginay__tak-server-mcp__TAK-SERVER-MCP-COMPLETION-PRD,https://github.com/jfuginay/tak-server-mcp,12.02,5.24,20.61,0.94,7.34,301,41,0.27,17.2,13.5,13.9,20,17.7,13.8,20.1,Very Difficult (College Graduate),100.0,35,0.49,135,1.9,46.0,0,0.0,0.06,0.0,1.462,0.65
Small PRD,small_prd_files,chasegan__Kalix__docs__kalix_prd,https://github.com/chasegan/Kalix,48.39,7.28,85.28,2.22,28.67,516,18,0.31,27.7,-29.9,27.6,32,30.5,24.8,23.6,Very Difficult (College Graduate),92.7,62,1.44,218,5.07,18.0,0,0.0,1.0,0.02,1.811,3.26
Small PRD,small_prd_files,shafiqahmeddev__tars-fl-sim__prd_hybrid,https://github.com/shafiqahmeddev/tars-fl-sim,66.56,26.92,113.58,2.97,6.6,508,77,0.47,20.6,-2.4,19.1,21,23.4,19.3,21.2,Very Difficult (College Graduate),90.8,58,0.5,210,1.81,46.0,0,0.0,0.28,0.14,0.889,1.28
Small PRD,small_prd_files,Intelligent-Data-Design-Inc__NEP__docs__prd_1,https://github.com/Intelligent-Data-Design-Inc/NEP,53.5,7.44,111.22,2.21,16.28,293,18,0.39,21.0,-4.7,18.2,23,22.4,17.9,23.5,Very Difficult (College Graduate),100.0,59,0.79,156,2.08,30.0,0,0.0,0.68,0.01,1.965,0.87
Small PRD,small_prd_files,J-DubApps__J-Dub-Prompts__Claude_Squad__core-coders__prd-writer,https://github.com/J-DubApps/J-Dub-Prompts,17.0,7.67,48.41,1.61,6.48,175,27,0.29,13.8,37.2,12.0,14,15.3,13.9,14.2,Difficult (College),50.0,0,0.0,39,0.81,46.0,0,0.0,0.0,0.23,1.242,1.69
Small PRD,small_prd_files,BioInfo__pomodorov2-cursor__docs__PRD,https://github.com/BioInfo/pomodorov2-cursor,27.7,7.09,45.52,1.8,16.17,372,23,0.31,18.2,8.5,16.8,19,19.1,16.5,19.6,Very Difficult (College Graduate),82.3,17,0.3,116,2.07,46.0,0,0.0,0.25,0.12,1.461,0.96
Small PRD,small_prd_files,djordjejankovic10__podcasts-mobile-app-v1__PRD_template,https://github.com/djordjejankovic10/podcasts-mobile-app-v1,14.98,9.87,28.28,1.69,5.83,350,60,0.3,16.7,20.1,14.4,17,18.2,15.5,18.5,Very Difficult (College Graduate),86.8,23,0.31,100,1.33,30.0,1,1.3,0.17,0.47,1.529,1.31
Small PRD,small_prd_files,devenspear__ThrivemoreTechWeb__ThriveTech-PRD,https://github.com/devenspear/ThrivemoreTechWeb,66.73,42.97,104.09,2.15,3.95,1050,266,0.46,14.0,27.2,12.0,13,15.0,12.7,16.9,Very Difficult (College Graduate),89.6,101,0.22,407,0.89,46.0,0,0.0,0.06,0.06,1.01,0.29
Small PRD,small_prd_files,GoogleCloudPlatform__professional-services-data-validator__docs__internal__partition_table_prd,https://github.com/GoogleCloudPlatform/professional-services-data-validator,13.92,9.1,47.19,1.6,2.58,124,48,0.41,10.8,52.9,8.8,10,12.9,12.0,10.2,Fairly Difficult (10th-12th grade),47.2,8,0.12,3,0.04,46.0,0,0.0,0.07,0.25,0.846,0.39
Small PRD,small_prd_files,ldriggers__competitive_content_monitoring__prd,https://github.com/ldriggers/competitive_content_monitoring,46.12,19.95,124.75,2.67,6.03,356,59,0.36,16.4,18.9,14.9,16,18.2,15.7,16.8,Very Difficult (College Graduate),88.1,41,0.35,183,1.56,30.0,4,3.4,0.37,0.34,1.459,1.15
Small PRD,small_prd_files,moshehbenavraham__graphmind__docs__PRD__README_PRD,https://github.com/moshehbenavraham/graphmind,30.61,13.9,44.38,1.73,5.03,443,88,0.37,14.7,19.4,12.5,16,15.3,12.0,18.3,Very Difficult (College Graduate),98.3,46,0.23,184,0.91,46.0,0,0.0,0.02,0.01,1.346,0.69
Small PRD,small_prd_files,masterthepixel__issi-next.js-i18n-dashboard__JOB_PORTAL_PRD,https://github.com/masterthepixel/issi-next.js-i18n-dashboard,98.5,61.78,150.07,2.7,2.71,899,332,0.5,15.0,23.5,12.9,14,16.1,13.6,17.8,Very Difficult (College Graduate),81.1,80,0.18,541,1.2,46.0,4,0.9,0.19,0.08,1.844,0.59
Small PRD,small_prd_files,valentynkt__Axon-Backend-Github__Docs__BMAD__Archive__prd-3,https://github.com/valentynkt/Axon-Backend-Github,50.28,15.3,91.35,2.57,7.42,319,43,0.46,23.9,-17.8,22.5,26,27.3,22.2,22.5,Very Difficult (College Graduate),83.5,47,1.02,61,1.33,30.0,0,0.0,0.65,0.11,1.505,1.91
Small PRD,small_prd_files,mattcarp__mc-kenneth__KENNETH_PRD,https://github.com/mattcarp/mc-kenneth,25.3,10.79,47.53,1.94,8.93,384,43,0.35,18.2,10.2,16.0,19,20.1,16.6,19.4,Very Difficult (College Graduate),100.0,53,0.79,140,2.09,46.0,0,0.0,0.18,0.15,1.339,0.75
Small PRD,small_prd_files,unchainedshop__unchained__admin-ui__PRD,https://github.com/unchainedshop/unchained,43.77,12.71,98.58,2.81,14.68,455,31,0.35,20.3,0.5,18.5,21,22.3,18.6,20.8,Very Difficult (College Graduate),90.7,53,0.73,158,2.16,46.0,0,0.0,0.26,0.08,1.175,1.77
Small PRD,small_prd_files,laude-institute__terminal-bench-datasets__datasets__deveval__python-lice-unit-testing__deveval_source_repo__PRD,https://github.com/laude-institute/terminal-bench-datasets,21.55,10.1,53.9,2.2,5.45,169,31,0.38,12.8,38.4,10.9,13,13.8,12.5,14.5,Difficult (College),89.4,19,0.26,40,0.55,46.0,0,0.0,0.18,0.21,0.66,0.68
Small PRD,small_prd_files,breethomas__pm-thought-partner__templates__lite-prd,https://github.com/breethomas/pm-thought-partner,15.42,12.19,42.91,1.26,2.64,259,98,0.39,10.8,55.5,8.8,11,11.2,11.1,11.6,Fairly Difficult (10th-12th grade),87.2,28,0.38,35,0.48,46.0,0,0.0,0.08,0.34,1.178,0.82
Small PRD,small_prd_files,wiggitywhitney__commit-story__.claude__commands__prd-next-telemetry-powered,https://github.com/wiggitywhitney/commit-story,26.5,10.38,74.3,2.08,8.2,328,40,0.34,20.1,10.9,18.7,22,22.6,19.3,17.8,Very Difficult (College Graduate),92.3,39,0.67,116,2.0,30.0,0,0.0,0.17,0.67,2.005,2.03
Small PRD,small_prd_files,rheome-dev__Phonoglyph__bmad__.bmad-core__templates__prd-tmpl,https://github.com/rheome-dev/Phonoglyph,12.86,9.93,31.9,1.36,4.39,316,72,0.28,14.9,34.4,13.4,15,16.7,15.0,14.3,Difficult (College),74.6,28,0.41,46,0.67,30.0,0,0.0,0.16,0.48,1.12,1.43
Small PRD,small_prd_files,holoscanner__holoscanner.github.io__prd,https://github.com/holoscanner/holoscanner.github.io,15.05,8.4,54.08,1.76,5.6,224,40,0.32,13.0,44.2,11.1,12,15.1,13.8,12.7,Difficult (College),76.1,18,0.25,37,0.51,30.0,0,0.0,0.14,0.41,0.984,0.42
Small PRD,small_prd_files,mattcarp__RF-Digital-Forensics-Toolkit__KENNETH_PRD,https://github.com/mattcarp/RF-Digital-Forensics-Toolkit,25.3,10.79,47.53,1.94,8.95,385,43,0.35,18.2,9.7,16.1,19,20.2,16.8,19.4,Very Difficult (College Graduate),100.0,53,0.79,140,2.09,46.0,0,0.0,0.18,0.15,1.33,0.75
Small PRD,small_prd_files,daniel-p-green__alain-ai-learning-platform__alain-prd,https://github.com/daniel-p-green/alain-ai-learning-platform,33.51,19.74,61.72,1.5,5.74,833,145,0.38,13.8,25.1,12.1,13,15.1,12.5,16.7,Very Difficult (College Graduate),76.8,35,0.11,164,0.51,46.0,0,0.0,0.1,0.05,0.878,0.47
Small PRD,small_prd_files,michaelborck-education__case-crafter__docs__case_crafter_prd,https://github.com/michaelborck-education/case-crafter,50.44,23.01,71.03,2.9,7.77,552,71,0.35,19.8,-7.0,18.2,20,21.2,17.0,23.0,Very Difficult (College Graduate),89.3,61,0.52,215,1.82,46.0,2,1.7,0.26,0.06,1.351,1.25
Small PRD,small_prd_files,tborys__BMAD__bmad-core__templates__prd-tmpl,https://github.com/tborys/BMAD,12.88,9.93,31.92,1.36,4.42,318,72,0.29,15.1,33.9,13.6,16,16.9,15.2,14.3,Difficult (College),74.7,28,0.42,46,0.69,30.0,0,0.0,0.16,0.49,1.096,1.48
