Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
Small PRD,small_prd_files,iagomsouza__whoop-ai-__tasks__tasks-prd,https://github.com/iagomsouza/whoop-ai-,24.68,9.02,56.05,1.84,10.15,416,41,0.33,8.7,51.7,7.4,8,10.1,9.0,8.6,Fairly Difficult (10th-12th grade),58.9,7,0.02,162,0.43,46.0,0,0.0,0.08,0.01,0.893,0.24
Small PRD,small_prd_files,ahmedelbrmbaly__blood-bridge__docs__PRD-bloodbridge,https://github.com/ahmedelbrmbaly/blood-bridge,37.76,13.15,76.73,2.37,5.1,209,41,0.38,15.8,24.5,13.9,15,18.0,15.5,16.2,Very Difficult (College Graduate),83.3,17,0.27,100,1.61,46.0,1,1.6,0.06,0.06,2.701,1.02
Small PRD,small_prd_files,ErpNetDocs__model__tables__Prd_Workgroup_Shifts,https://github.com/ErpNetDocs/model,22.54,2.0,34.23,0.82,9.92,129,13,0.49,15.5,37.3,13.7,20,16.8,15.1,12.4,Difficult (College),46.5,17,0.59,1,0.03,46.0,0,0.0,0.41,0.07,2.093,0.76
Small PRD,small_prd_files,Ofunrein__lumenosis-landing__PROJECT-PRD,https://github.com/Ofunrein/lumenosis-landing,11.56,4.96,32.12,1.17,8.4,210,25,0.3,13.5,32.7,11.6,14,13.9,12.5,15.7,Difficult (College),100.0,37,0.62,99,1.65,46.0,0,0.0,0.13,0.0,1.63,0.28
Small PRD,small_prd_files,hanibalsk__phone-manager__docs__PRD-user-management,https://github.com/hanibalsk/phone-manager,69.57,53.44,95.65,3.23,2.32,460,198,0.37,12.4,32.8,10.9,13,12.4,11.2,14.7,Difficult (College),87.2,39,0.21,80,0.42,46.0,0,0.0,0.03,0.05,1.039,0.69
Small PRD,small_prd_files,tarektech__devblog__dev_blog_prd,https://github.com/tarektech/devblog,44.54,10.08,108.71,2.59,13.96,335,24,0.4,15.8,25.4,14.1,17,16.5,14.8,16.6,Very Difficult (College Graduate),96.1,40,0.47,156,1.84,46.0,0,0.0,0.16,0.02,1.327,0.67
Small PRD,small_prd_files,ragnar-johannsson__sgf-to-image__docs__PRD-02,https://github.com/ragnar-johannsson/sgf-to-image,13.38,8.09,27.25,1.2,4.07,228,56,0.36,9.0,58.6,7.0,8,9.8,9.6,9.7,Fairly Difficult (10th-12th grade),85.8,15,0.14,39,0.36,46.0,0,0.0,0.03,0.07,1.278,0.1
Small PRD,small_prd_files,Mr-1s__chorehero-v1__CHOREHERO_PRD,https://github.com/Mr-1s/chorehero-v1,11.55,4.41,27.0,1.37,12.0,264,22,0.25,16.3,29.5,14.6,19,16.7,15.1,16.2,Very Difficult (College Graduate),100.0,28,0.9,88,2.84,46.0,0,0.0,0.1,0.32,2.997,1.1
Small PRD,small_prd_files,Utkarsh0825__CareCircle-v2__PRD_CareCircle,https://github.com/Utkarsh0825/CareCircle-v2,200.22,42.95,423.96,3.64,9.74,1023,105,0.53,14.0,29.4,12.2,14,13.7,12.6,17.0,Very Difficult (College Graduate),87.4,256,0.39,1273,1.94,46.0,0,0.0,0.18,0.02,1.557,0.61
Small PRD,small_prd_files,jdstrausb__blog__docs__avatar-superellipse-prd,https://github.com/jdstrausb/blog,20.31,7.06,46.47,1.37,7.69,277,36,0.42,16.4,22.3,14.9,17,18.4,16.1,16.5,Very Difficult (College Graduate),97.2,32,0.53,85,1.42,30.0,0,0.0,0.45,0.15,1.787,0.92
Small PRD,small_prd_files,yutou-s-chrome-extensions__Website-Color-Palette-Extractor__prd,https://github.com/yutou-s-chrome-extensions/Website-Color-Palette-Extractor,14.57,10.32,34.59,1.33,3.29,207,63,0.28,11.4,38.1,10.1,10,12.7,11.2,12.6,Difficult (College),82.4,13,0.14,48,0.51,46.0,0,0.0,0.18,0.15,1.006,0.28
Small PRD,small_prd_files,iamhenry__revenuecat-mcp__api2mcp-prd,https://github.com/iamhenry/revenuecat-mcp,28.8,26.04,33.66,2.53,3.58,329,92,0.24,13.2,34.5,10.9,14,13.6,11.9,15.1,Difficult (College),71.8,21,0.33,16,0.25,46.0,0,0.0,0.08,0.03,1.237,0.52
Small PRD,small_prd_files,coeus-solutions__api-podcast__podcast-app-prd,https://github.com/coeus-solutions/api-podcast,11.23,9.08,24.65,1.01,1.79,163,91,0.39,10.1,44.9,8.4,10,10.8,9.4,11.9,Difficult (College),100.0,32,0.26,75,0.61,46.0,0,0.0,0.13,0.03,1.122,0.2
Small PRD,small_prd_files,peeraponw__agent_benchmark__.ai__PRD1,https://github.com/peeraponw/agent_benchmark,26.66,8.32,48.72,1.66,9.58,479,50,0.32,19.1,4.3,16.7,20,20.7,16.8,20.9,Very Difficult (College Graduate),88.9,40,0.34,176,1.5,46.0,1,0.9,0.14,0.08,2.24,0.67
Small PRD,small_prd_files,herchioma__Trendora__prd,https://github.com/herchioma/Trendora,10.25,8.38,22.22,1.32,3.12,212,68,0.28,12.6,32.8,10.8,12,13.9,11.7,14.5,Difficult (College),76.6,9,0.1,42,0.45,46.0,0,0.0,0.15,0.1,0.934,0.28
